uhq_id,uhq_title,uhq_link,title,title_link,author,author_link,type,year,publisher,publisher_tag,metadata,citation_num,citation_link,sample_text
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en", The Colorado River: Its history in the lower canyons area,https://search.proquest.com/openview/2f120e509bb3fd7cf08c9f24c7897780/1?pq-origsite=gscholar&cbl=18750&diss=y,MT Smith,,THESIS/DISSERTATION,1972,Brigham Young University,search.proquest.com,MT Smith - 1972 - search.proquest.com,14,"https://scholar.google.com/scholar?cites=1672982729818467050&as_sdt=5,45&sciodt=0,45&hl=en","While much has been written about the Colorado River, little scholarly study has been expended on the region of its lower canyons. This project reviews the major primary …"
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en", Utah's Ethnic Minorities: A Survey,https://scholarlypublishingcollective.org/uip/uhq/article-abstract/40/3/210/207615,RO Ulibarri,,ARTICLE,1972,Utah Historical Quarterly,scholarlypublishingcollective.org,"RO Ulibarri - Utah Historical Quarterly, 1972 - scholarlypublishingcollective.org",6,"https://scholar.google.com/scholar?cites=15104083643526892228&as_sdt=5,45&sciodt=0,45&hl=en","Dr. Ulibarri is director of the Institute of Ethnic Studies at Weber State College. He received that institution's first Honors Lecture Award for his paper"" The Negro Legacy in America."" In …"
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en"," American Zion: Cliven Bundy, God & Public Lands in the West",https://books.google.com/books?hl=en&lr=&id=JNjODwAAQBAJ&oi=fnd&pg=PT7&ots=5arzHl-hql&sig=jsXoYAxYAviEhkKIKXgMJwp-UxE,BG Quammen,,BOOK,2020,Torrey House Press,books.google.com,BG Quammen - 2020 - books.google.com,4,"https://scholar.google.com/scholar?cites=14324910630070729395&as_sdt=5,45&sciodt=0,45&hl=en",""" A deep, fascinating dive into a uniquely American brand of religious zealotry that poses a grave threat to our national parks, wilderness areas, wildlife sanctuaries, and other public …"
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en",Piapaxa'Uipi (Big River Canyon),https://repository.arizona.edu/bitstream/handle/10150/301869/azu_stoffle_gc_big_river_canyon_w.pdf?sequence=1,RW Stoffle,,REPORT,1994,Bureau of Applied Research in Anthropology,repository.arizona.edu,"RW Stoffle, DB Halmo, MJ Evans, DE Austin - 1994 - repository.arizona.edu",3,"https://scholar.google.com/scholar?cites=6782872161898629334&as_sdt=5,45&sciodt=0,45&hl=en","The Colorado River and the canyons it carved over past millennium inspire awe in peoples of all cultures, thus causing the International Union for the Conservation of Nature to …"
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en","Partial revision of the Pyrgulopsis kolobensis complex (Caenogastropoda: Hydrobiidae), with resurrection of P. pinetorum and description of three new species from …",https://academic.oup.com/mollus/article/83/2/161/2918118,"<a href=""/citations?user=mKUeEicAAAAJ&amp;hl=en&amp;oi=sra"">HP Liu</a>",https://scholar.google.com/citations?user=mKUeEicAAAAJ&hl=en&oi=sra,ARTICLE,2017,Journal of Molluscan Studies,academic.oup.com,"R Hershler, HP Liu, C Forsythe… - Journal of Molluscan …, 2017 - academic.oup.com",2,"https://scholar.google.com/scholar?cites=11560322606339676716&as_sdt=5,45&sciodt=0,45&hl=en","Abstract The Toquerville springsnail, Pyrgulopsis kolobensis (Taylor, 1987), is one of the most widespread caenogastropods in the western USA, ranging throughout western Utah …"
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en","Mormon conquest: Whites and natives in the intermountain West, 1847–1851",https://search.proquest.com/openview/e7c9ce4cf7a4ffda39fbc7e7d6e70573/1?pq-origsite=gscholar&cbl=18750,"<a href=""/citations?user=IY53lNkAAAAJ&amp;hl=en&amp;oi=sra"">CC Smith</a>",https://scholar.google.com/citations?user=IY53lNkAAAAJ&hl=en&oi=sra,THESIS/DISSERTATION,2016,Claremont Graduate University,search.proquest.com,CC Smith - 2016 - search.proquest.com,2,"https://scholar.google.com/scholar?cites=6742939493027407356&as_sdt=5,45&sciodt=0,45&hl=en","White Mormon pioneers occupied the Salt Lake Valley in 1847 and refused to pay Shoshone inhabitants for the privilege, proclaiming that the land belonged to God and …"
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en", CONQUERING THE BLACK RIDGE: The Communitarian Road in Pioneer Utah,https://scholarlypublishingcollective.org/uip/uhq/article-abstract/82/3/220/203344,T COMPTON,,ARTICLE,2014,Utah Historical Quarterly,scholarlypublishingcollective.org,"T COMPTON - Utah Historical Quarterly, 2014 - scholarlypublishingcollective.org",No citation count,https://scholar.google.comNo citation count,"The Black Ridge-a formation of jagged volcanic rock t Creek Canyon for some three miles north of Pintura in County, Utah-was one of the legendary barriers that ing to and from …"
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en", Heart of the mountain: the history of Timpanogos Cave National Monument,https://books.google.com/books?hl=en&lr=&id=zActold2pqQC&oi=fnd&pg=PA1&ots=Vj_jzNIIQu&sig=cE9ggnFrD6Ml3a5DGdI5vbKKK8A,C Pulham,,BOOK,2009,Timpanogos Cave National Monument,books.google.com,C Pulham - 2009 - books.google.com,No citation count,https://scholar.google.comNo citation count,"H idden high in the cliffs of Mount Others worked to develop trails, lights, and structures Timpanogos are three valuable and to enable the many thousands of visitors to come to …"
G0001,Indian names in Utah geography,"https://scholar.google.com/scholar?cites=16532096237102463604&as_sdt=5,45&sciodt=0,45&hl=en",American Zion: Mormon perspectives on landscape from Zion National Park to the Bundy family war,https://scholarworks.montana.edu/xmlui/bitstream/handle/1/14913/QuammenB0517.pdf?sequence=4&isAllowed=y,BG Quammen,,THESIS/DISSERTATION,2017,Montana State University,scholarworks.montana.edu,BG Quammen - 2017 - scholarworks.montana.edu,No citation count,https://scholar.google.comNo citation count,"This dissertation is about Mormon views on landscape and resource use from Euro-American settlement in what is today southern Utah and southeastern Nevada, to the current …"
G0005,American Posts,"https://scholar.google.com/scholar?cites=14174485857412692356&as_sdt=5,45&sciodt=0,45&hl=en", The Robert S. Bliss Journal,https://scholarlypublishingcollective.org/uip/uhq/article-abstract/27/4/380/209661,EL Cooley,,ARTICLE,1959,Utah Historical Quarterly,scholarlypublishingcollective.org,"EL Cooley - Utah Historical Quarterly, 1959 - scholarlypublishingcollective.org",1,"https://scholar.google.com/scholar?cites=13174469403832654033&as_sdt=5,45&sciodt=0,45&hl=en","In December, 1958, the records of the Mormon Battalion Monument Commission and the records of the State Society Daughters of the Mormon Battalion were transferred to the Utah …"
