name,alt_name,predicted_gender,article_count,full_count
Brigham Young,,man,745,4110
Joseph Smith,,man,234,734
George A. Smith,George A Smith,man,132,284
John Taylor,,man,136,283
Reed Smoot,,man,103,282
Wilford Woodruff,,man,150,276
Joseph F. Smith,,man,101,263
George Q. Cannon,,man,130,249
Jacob Hamblin,JACOB HAMBLIN,man,62,228
John D. Lee,John D Lee,man,87,219
Black Hawk,,man,62,211
Heber C. Kimball,,man,111,196
Orson Pratt,,man,108,196
John Wesley Powell,J. W. Powell; J. W. POWELL; John W. Powell; John Powell; Wes Powell,man,90,162
Erastus Snow,,man,86,158
James Buchanan,,man,51,151
B. H. Roberts,Brigham H. Roberts; B.H. Roberts,man,76,148
Heber J. Grant,,man,79,145
Thomas L. Kane,Thomas Kane,man,50,144
Buffalo Bill,,man,12,134
Leonard Arrington,Leonard J. Arrington,man,83,123
Frank J. Cannon,Frank Cannon,man,36,122
Franklin D. Richards,F. D. Richards; Franklin D Richards,man,66,121
Lorenzo Snow,,man,56,115
Parley P. Pratt,Parley Pratt,man,73,115
Thomas Bullock,,man,26,112
Jedediah Smith,Jedediah S. Smith,man,37,109
John Henry,,man,53,106
Dale Morgan,Dale L. Morgan; DALE L. MORGAN,man,44,103
Orson Hyde,,man,62,101
Theodore Roosevelt,,man,66,98
Lot Smith,,man,32,97
Hosea Stout,,man,44,95
Willard Richards,,man,47,95
John W. Young,John W.Young,man,31,95
Juanita Brooks,JUANITA BROOKS,woman,52,94
Eliza R. Snow,,woman,48,89
Abraham Lincoln,,man,68,87
Franklin D. Roosevelt,Franklin Roosevelt,man,66,86
Emmeline B. Wells,Emmeline Wells; E. B. Wells,woman,33,85
John Henry Smith,,man,35,82
Woodrow Wilson,,man,61,79
Alfred Cumming,,man,39,79
Andrew Jenson,,man,46,76
Albert Sidney Johnston,,man,48,74
Albert Carrington,,man,33,72
Thomas Kearns,,man,43,71
David O. McKay,,man,40,70
Simon Bamberger,,man,53,69
Charles Kelly,CHARLES KELLY,man,38,67
Heber M. Wells,Heber Wells,man,53,67
Jim Bridger,,man,38,67
Susa Young Gates,Susa Y. Gates,woman,26,66
Grover Cleveland,,man,47,65
William Spry,,man,45,63
Kit Carson,,man,42,63
Lorenzo Young,Lorenzo Dow Young,man,17,62
Orson F. Whitney,Orson Whitney,man,46,60
William Clayton,,man,32,58
Wallace Stegner,,man,38,57
David Eccles,,man,14,57
John T. Caine,John T Caine,man,39,56
John Sharp,,man,26,55
Jedediah M. Grant,Jedediah Grant,man,31,53
George Ellsworth,GEORGE ELLSWORTH; S. George Ellsworth,man,14,53
Howard Stansbury,,man,36,51
Anthony W. Ivins,A. W. Ivins,man,34,51
Mark Twain,,man,21,51
J. Cecil Alter,,man,33,50
Henry H. Blood,Henry Blood,man,33,50
John C. Fremont,"John Charles Fremont, John C. Frémont; John C Fremont",man,41,50
Daniel Wells,D. H. Wells,man,20,50
Charles C. Rich,C. C. Rich,man,26,49
William H. King,William King,man,34,49
Abraham O. Smoot,A. O. Smoot; Abraham Smoot,man,27,49
Calvin S. Smith,,man,1,49
Howard Egan,,man,19,48
Bernardo Miera,,man,14,48
Ezra T. Benson,"Ezra Taft Benson, E. T. Benson",man,31,47
H. H. Bancroft,,man,7,47
John A. Widtsoe,,man,31,46
John M. Bernhisel,,man,32,46
Jesse Knight,,man,13,46
Martin Luther King,,man,5,46
Thomas G. Alexander,THOMAS G. ALEXANDER,man,37,44
John R. Young,,man,12,44
Denis Julien,,man,12,44
Helen Z. Papanikolas,Helen Zeese Papanikolas; HELEN Z. PAPANIKOLAS; Helen Papanikolas,woman,30,43
Charles W. Nibley,Charles Nibley; C. W. Nibley,man,19,43
Arthur H. Clark,,man,16,43
Abraham H. Cannon,,man,21,42
Hashkéneinii Biye,,man,1,42
Miles Goodyear,,man,19,41
William H. Hooper,W. H. Hooper,man,29,41
William Howard,,man,31,41
William Jennings Bryan,,man,28,41
Rudger Clawson,,man,19,41
Harold B. Lee,,man,29,41
Jessie Evans Smith,,woman,3,41
Lawrence Scanlan,,man,25,40
William Henry,,man,28,40
John Steel,,man,19,40
George Washington,,man,38,40
Robert L. Campbell,Robert Campbell,man,29,40
Fray Silvestre,,man,15,39
Truman Leonard,,man,1,39
John Smith,,man,25,39
Stephen A. Douglas,,man,27,39
John Steele,,man,17,38
John Steele,,man,17,38
John Pulsipher,,man,9,37
Alvin Heaton,,man,2,37
May Cody,,woman,2,37
A. R. Mortensen,Russ Mortensen; A. R. MORTENSEN; A. Russell Mortensen,man,28,36
Peter Skene Ogden,,man,23,36
Orson Spencer,,man,23,36
Elbert D. Thomas,,man,19,36
Frederick S. Dellenbaugh,,man,17,36
Patrick E. Connor,"Patrick Edward Connor, Patrick Connor",man,32,35
James E. Talmage,,man,15,35
Levi Stewart,,man,10,35
J. Willard Marriott,,man,27,35
Willard Young,,man,6,35
Thomas Chamberlain,,man,6,35
Zina Young,Zina D. H. Young,woman,14,35
J. Bracken Lee,,man,22,34
Karl G. Maeser,,man,25,34
John Brown,,man,23,34
Ira Hatch,,man,20,34
Leland Stanford,,man,15,34
Anson Call,,man,16,34
Daniel Spencer,,man,14,34
John R. Barnes,,man,4,34
Taylor Grazing,,woman,16,34
Amasa Lyman,,man,30,33
William Howard Taft,,man,25,33
Lorin Farr,,man,21,33
Winfield Scott,,man,22,33
Charles S. Zane,Charles Zane,man,26,33
John Beck,,man,10,33
Joseph A. Young,,man,10,33
Ulysses S. Grant,U. S. Grant,man,30,32
George Sutherland,,man,19,32
David Keith,,man,14,32
Preston Nutter,,man,10,32
Joseph Morris,,man,7,32
Newel K. Whitney,Newell K. Whitney,man,10,32
Bishop Leonard,,man,4,32
Mancos Jim,,man,8,32
Susan B. Anthony,,woman,18,32
Etienne Provost,,man,14,31
Jack Sumner,,man,12,31
Angus M. Cannon,Angus Cannon,man,18,31
Franklin S. Richards,,man,14,31
Arthur Pratt,,man,12,31
Minnie Maud,,woman,7,31
Mary Cook,,woman,2,31
John Nuttall,,man,15,30
Charles W. Penrose,,man,25,30
Albert R. Lyman,,man,15,30
Dudley Leavitt,,man,17,30
Juan Pedro Cisneros,,man,8,30
Martha Hughes,,woman,20,30
William Smith,,man,13,30
Charles S. Peterson,,man,21,29
James Holt,JAMES HOLT,man,3,29
George H. Dern,,man,25,29
George Cook,,man,19,29
Millard Fillmore,,man,14,29
Herbert Hoover,,man,23,29
Peter Maughan,,man,13,29
Thales Haskel,,man,18,29
Nephi Johnson,,man,11,29
Isaac Russell,,man,3,29
Ida Cook,,woman,3,29
Levi Edgar Young,,man,17,28
Garland Hurt,,man,15,28
Elizabeth Kane,,woman,7,28
J. Reuben Clark,,man,18,28
Hyrum Smith,,man,20,28
T. B. H. Stenhouse,,man,22,28
James Brown,,man,17,28
Joseph Fielding Smith,,man,14,28
Thales Haskell,,man,17,28
Samuel W. Richards,,man,11,28
Clara Creek,,woman,12,27
Charles R. Mabey,CHARLES R. MABEY,man,23,27
Gary Topping,GARY TOPPING,man,17,27
Michael Quinn,,man,17,27
Don Juan Pedro Cisneros,,man,6,27
Francisco Atanasio Dominguez,,man,18,27
George Albert Smith,,man,24,27
Gifford Pinchot,,man,16,27
Jesse W. Fox,,man,15,27
Jefferson Hunt,,man,21,27
Samuel Knight,,man,13,27
Joaquin Lain,,man,10,27
Isaac Trumbo,,man,6,27
George Adair,,man,6,27
Romania B. Pratt,Romania Pratt; Romania Bunnell; Romania Bunnell Pratt; Romania B. Penrose; Romania Pratt Penrose,woman,21,27
Amanda Olson,,woman,1,27
Benjamin Harrison,,man,22,27
Franklin Pierce,,man,19,27
William Mulder,,man,19,26
Hubert Howe,,man,11,26
Frederick Jackson Turner,,man,19,26
Truman O. Angel,,man,17,26
James Bridger,,man,15,26
David Evans,,man,13,26
Andres Mufiiz,,man,4,26
Martha Hughes Cannon,,woman,18,26
Ann W. Hafen,,woman,7,26
Everett L. Cooley,EVERETT L. COOLEY,man,19,25
Stanley S. Ivins,Stanley Ivins; STANLEY S. IVINS,man,12,25
Hubert Howe Bancroft,,man,10,25
L. John Nuttall,,man,13,25
Harold Carlisle,,man,7,25
George D. Clyde,GEORGE D. CLYDE,man,9,25
Sarah Kimball,,woman,4,25
Mary White,,woman,3,25
John W. Gunnison,,man,23,25
Francis M. Lyman,,man,20,25
Edward Tullidge,,man,17,25
John Wetherill,,man,15,25
Joseph W. Young,,man,14,25
Andrew Love,,man,16,25
Charles S. Varian,Charles Varian; C. S. Varian; Charles S.Varian,man,16,25
